#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COL14A1	MMP9	9606.ENSP00000297848	9606.ENSP00000361405	0	0	0	0	0.062	0.203	0.900	0.229	0.934
COL15A1	MMP7	9606.ENSP00000364140	9606.ENSP00000260227	0	0	0	0	0.063	0	0.900	0.138	0.912
COL15A1	MMP20	9606.ENSP00000364140	9606.ENSP00000260228	0	0	0	0	0.062	0	0.900	0.059	0.904
COL15A1	MMP13	9606.ENSP00000364140	9606.ENSP00000260302	0	0	0	0	0.062	0	0.900	0.164	0.914
COL15A1	MMP3	9606.ENSP00000364140	9606.ENSP00000299855	0	0	0	0	0.117	0	0.900	0.204	0.923
COL15A1	MMP9	9606.ENSP00000364140	9606.ENSP00000361405	0	0	0	0	0.063	0	0.900	0.181	0.916
COL16A1	MMP9	9606.ENSP00000362776	9606.ENSP00000361405	0	0	0	0	0	0.059	0.900	0.135	0.911
COL18A1	MMP2	9606.ENSP00000347665	9606.ENSP00000219070	0	0	0	0	0.184	0.638	0.900	0.746	0.991
COL18A1	MMP7	9606.ENSP00000347665	9606.ENSP00000260227	0	0	0	0	0.062	0	0.900	0.420	0.940
COL18A1	MMP20	9606.ENSP00000347665	9606.ENSP00000260228	0	0	0	0	0.062	0	0.900	0.068	0.904
COL18A1	MMP13	9606.ENSP00000347665	9606.ENSP00000260302	0	0	0	0	0.062	0	0.900	0.260	0.924
COL18A1	MMP3	9606.ENSP00000347665	9606.ENSP00000299855	0	0	0	0	0.062	0	0.900	0.424	0.941
COL18A1	HSPG2	9606.ENSP00000347665	9606.ENSP00000363827	0	0	0	0	0.200	0.392	0	0.830	0.910
COL18A1	MMP12	9606.ENSP00000347665	9606.ENSP00000458585	0	0	0	0	0.062	0	0.900	0.341	0.932
COL18A1	MMP9	9606.ENSP00000347665	9606.ENSP00000361405	0	0	0	0	0.062	0.129	0.900	0.602	0.963
COL1A1	DCN	9606.ENSP00000225964	9606.ENSP00000052754	0	0	0	0	0.864	0.241	0	0.636	0.959
COL1A1	MMP2	9606.ENSP00000225964	9606.ENSP00000219070	0	0	0	0	0.879	0.355	0	0.612	0.967
COL1A1	SDC1	9606.ENSP00000225964	9606.ENSP00000370542	0	0	0	0	0.141	0	0.900	0.181	0.923
COL1A1	RUNX2	9606.ENSP00000225964	9606.ENSP00000360493	0	0	0	0	0	0	0.900	0.857	0.985
COL1A1	SPARC	9606.ENSP00000225964	9606.ENSP00000231061	0	0	0	0	0.940	0.515	0	0.669	0.989
COL1A1	COL1A2	9606.ENSP00000225964	9606.ENSP00000297268	0	0	0.443	0.958	0.990	0.559	0.900	0.954	0.999
COL1A2	DCN	9606.ENSP00000297268	9606.ENSP00000052754	0	0	0	0	0.927	0.241	0	0.567	0.974
COL1A2	MMP2	9606.ENSP00000297268	9606.ENSP00000219070	0	0	0	0	0.824	0.397	0	0.559	0.949
COL1A2	COL1A1	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0.443	0.958	0.990	0.559	0.900	0.954	0.999
COL1A2	SPARC	9606.ENSP00000297268	9606.ENSP00000231061	0	0	0	0	0.973	0.239	0	0.563	0.990
COL1A2	LAMA5	9606.ENSP00000297268	9606.ENSP00000252999	0	0	0	0	0.062	0.102	0.900	0.286	0.931
COL1A2	SDC1	9606.ENSP00000297268	9606.ENSP00000370542	0	0	0	0	0.079	0	0.900	0.170	0.916
COL9A1	MMP13	9606.ENSP00000349790	9606.ENSP00000260302	0	0	0	0	0	0.059	0.900	0.453	0.944
COL9A1	MMP3	9606.ENSP00000349790	9606.ENSP00000299855	0	0	0	0	0	0.059	0.900	0.294	0.927
COL9A1	COL9A3	9606.ENSP00000349790	9606.ENSP00000341640	0	0	0.434	0.887	0.640	0	0.800	0.860	0.935
COL9A1	COL9A2	9606.ENSP00000349790	9606.ENSP00000361834	0	0	0.431	0.922	0.814	0	0.800	0.868	0.964
COL9A2	MMP13	9606.ENSP00000361834	9606.ENSP00000260302	0	0	0	0	0	0.059	0.900	0.290	0.927
COL9A2	MMP3	9606.ENSP00000361834	9606.ENSP00000299855	0	0	0	0	0	0.059	0.900	0.325	0.930
COL9A2	COL9A3	9606.ENSP00000361834	9606.ENSP00000341640	0	0	0.441	0.886	0.834	0	0.800	0.929	0.970
COL9A2	COL9A1	9606.ENSP00000361834	9606.ENSP00000349790	0	0	0.431	0.922	0.814	0	0.800	0.868	0.964
COL9A3	MMP13	9606.ENSP00000341640	9606.ENSP00000260302	0	0	0	0	0	0.059	0.900	0.245	0.922
COL9A3	MMP3	9606.ENSP00000341640	9606.ENSP00000299855	0	0	0	0	0	0.059	0.900	0.324	0.930
COL9A3	COL9A1	9606.ENSP00000341640	9606.ENSP00000349790	0	0	0.434	0.887	0.640	0	0.800	0.860	0.935
COL9A3	COL9A2	9606.ENSP00000341640	9606.ENSP00000361834	0	0	0.441	0.886	0.834	0	0.800	0.929	0.970
CSPG4	MMP16	9606.ENSP00000312506	9606.ENSP00000286614	0	0	0	0	0.084	0	0	0.951	0.953
CSPG4	SDC2	9606.ENSP00000312506	9606.ENSP00000307046	0	0	0	0	0.098	0	0.900	0.261	0.927
CSPG4	SDC1	9606.ENSP00000312506	9606.ENSP00000370542	0	0	0	0	0.077	0	0.900	0.294	0.929
CSPG4	SDC4	9606.ENSP00000312506	9606.ENSP00000361818	0	0	0	0	0.072	0	0.900	0.309	0.930
CSPG4	HSPG2	9606.ENSP00000312506	9606.ENSP00000363827	0	0	0	0	0.221	0	0.900	0.396	0.948
CTNNA1	HGF	9606.ENSP00000304669	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.075	0.903
CTNNA1	MMP7	9606.ENSP00000304669	9606.ENSP00000260227	0	0	0	0	0	0	0.900	0.134	0.909
CTNNA1	CDH1	9606.ENSP00000304669	9606.ENSP00000261769	0	0	0	0	0.062	0.885	0.900	0.983	0.999
CTNNA1	MMP3	9606.ENSP00000304669	9606.ENSP00000299855	0	0	0	0	0	0	0.900	0.107	0.906
CTNNA1	IGF1	9606.ENSP00000304669	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.146	0.910
CTNNA1	BDNF	9606.ENSP00000304669	9606.ENSP00000414303	0	0	0	0	0.064	0	0.900	0.075	0.905
CTNNA1	IGF2	9606.ENSP00000304669	9606.ENSP00000391826	0	0	0	0	0	0	0.900	0.102	0.906
CTNNA1	VEGFA	9606.ENSP00000304669	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.161	0.912
CTNNA1	SRC	9606.ENSP00000304669	9606.ENSP00000362680	0	0	0	0	0.123	0	0.900	0.309	0.934
CTNNA1	CTNND1	9606.ENSP00000304669	9606.ENSP00000382004	0	0	0	0	0.421	0.500	0.900	0.761	0.992
CTNNA1	JUP	9606.ENSP00000304669	9606.ENSP00000377508	0	0	0	0	0.072	0.915	0.900	0.615	0.996
CTNNA1	CTNNB1	9606.ENSP00000304669	9606.ENSP00000344456	0	0	0	0	0.094	0.993	0.900	0.994	0.999
CTNNB1	TGFB1	9606.ENSP00000344456	9606.ENSP00000221930	0	0	0	0	0	0.064	0.900	0.617	0.961
CTNNB1	HGF	9606.ENSP00000344456	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.684	0.967
CTNNB1	MMP7	9606.ENSP00000344456	9606.ENSP00000260227	0	0	0	0	0	0.073	0.900	0.738	0.973
CTNNB1	CDH1	9606.ENSP00000344456	9606.ENSP00000261769	0	0	0	0	0.062	0.999	0.900	0.990	0.999
CTNNB1	MMP3	9606.ENSP00000344456	9606.ENSP00000299855	0	0	0	0	0	0.073	0.900	0.592	0.958
CTNNB1	IGF1	9606.ENSP00000344456	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.693	0.968
CTNNB1	CTNNA1	9606.ENSP00000344456	9606.ENSP00000304669	0	0	0	0	0.094	0.993	0.900	0.994	0.999
CTNNB1	CAV1	9606.ENSP00000344456	9606.ENSP00000339191	0	0	0	0	0	0.638	0	0.937	0.976
CTNNB1	RUNX2	9606.ENSP00000344456	9606.ENSP00000360493	0	0	0	0	0	0.107	0	0.937	0.942
CTNNB1	IGF2	9606.ENSP00000344456	9606.ENSP00000391826	0	0	0	0	0	0	0.900	0.607	0.959
CTNNB1	BDNF	9606.ENSP00000344456	9606.ENSP00000414303	0	0	0	0	0	0.051	0.900	0.674	0.966
CTNNB1	VEGFA	9606.ENSP00000344456	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.760	0.975
CTNNB1	JUP	9606.ENSP00000344456	9606.ENSP00000377508	0	0	0	0.968	0	0.881	0.900	0.764	0.987
CTNNB1	CTNND1	9606.ENSP00000344456	9606.ENSP00000382004	0	0	0	0	0.087	0.827	0.900	0.993	0.999
CTNNB1	SRC	9606.ENSP00000344456	9606.ENSP00000362680	0	0	0	0	0.060	0.711	0.900	0.981	0.999
CTNND1	HGF	9606.ENSP00000382004	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.324	0.929
CTNND1	MMP7	9606.ENSP00000382004	9606.ENSP00000260227	0	0	0	0	0	0	0.900	0.390	0.936
CTNND1	CDH1	9606.ENSP00000382004	9606.ENSP00000261769	0	0	0	0	0.096	0.928	0.900	0.989	0.999
CTNND1	MMP3	9606.ENSP00000382004	9606.ENSP00000299855	0	0	0	0	0	0	0.900	0.180	0.914
CTNND1	IGF1	9606.ENSP00000382004	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.134	0.909
CTNND1	CTNNA1	9606.ENSP00000382004	9606.ENSP00000304669	0	0	0	0	0.421	0.500	0.900	0.761	0.992
CTNND1	CTNNB1	9606.ENSP00000382004	9606.ENSP00000344456	0	0	0	0	0.087	0.827	0.900	0.993	0.999
CTNND1	SRC	9606.ENSP00000382004	9606.ENSP00000362680	0	0	0	0	0.084	0.496	0.900	0.946	0.997
CTNND1	JUP	9606.ENSP00000382004	9606.ENSP00000377508	0	0	0	0	0.102	0.516	0.900	0.701	0.985
CTNND1	IGF2	9606.ENSP00000382004	9606.ENSP00000391826	0	0	0	0	0	0	0.900	0.095	0.905
CTNND1	BDNF	9606.ENSP00000382004	9606.ENSP00000414303	0	0	0	0	0	0	0.900	0.106	0.906
CTRB1	MMP10	9606.ENSP00000354294	9606.ENSP00000279441	0	0	0	0	0	0	0.900	0	0.900
CTRB1	MMP3	9606.ENSP00000354294	9606.ENSP00000299855	0	0	0	0	0	0	0.900	0	0.900
CTRB1	CTRB2	9606.ENSP00000354294	9606.ENSP00000303963	0	0	0.449	0.985	0.520	0.229	0.800	0.805	0.920
CTRB1	MMP9	9606.ENSP00000354294	9606.ENSP00000361405	0	0	0	0	0	0	0.900	0.067	0.902
CTRB2	MMP10	9606.ENSP00000303963	9606.ENSP00000279441	0	0	0	0	0	0	0.900	0	0.900
CTRB2	CTRB1	9606.ENSP00000303963	9606.ENSP00000354294	0	0	0.449	0.985	0.520	0.229	0.800	0.805	0.920
CTSG	IGF2	9606.ENSP00000216336	9606.ENSP00000391826	0	0	0	0	0	0	0.900	0.078	0.903
CTSG	IGF1	9606.ENSP00000216336	9606.ENSP00000302665	0	0	0	0	0	0	0.900	0.156	0.911
CTSG	IGFALS	9606.ENSP00000216336	9606.ENSP00000416683	0	0	0	0	0	0.056	0.900	0.146	0.912
CTSG	PLAUR	9606.ENSP00000216336	9606.ENSP00000339328	0	0	0	0	0	0.058	0.900	0.258	0.924
CTSG	IGFBP3	9606.ENSP00000216336	9606.ENSP00000370473	0	0	0	0	0	0.213	0.900	0.174	0.929
CTSG	MMP1	9606.ENSP00000216336	9606.ENSP00000322788	0	0	0	0	0	0	0.900	0.391	0.936
CTSG	MMP9	9606.ENSP00000216336	9606.ENSP00000361405	0	0	0	0	0.089	0	0.900	0.602	0.960
DCN	ELN	9606.ENSP00000052754	9606.ENSP00000351807	0	0	0	0	0.152	0.270	0	0.884	0.922
DCN	SDC2	9606.ENSP00000052754	9606.ENSP00000307046	0	0	0	0	0.089	0	0.900	0.472	0.947
DCN	MMP14	9606.ENSP00000052754	9606.ENSP00000308208	0	0	0	0	0.100	0	0.900	0.501	0.951
DCN	SDC4	9606.ENSP00000052754	9606.ENSP00000361818	0	0	0	0	0.062	0	0.900	0.540	0.953
DCN	MMP7	9606.ENSP00000052754	9606.ENSP00000260227	0	0	0	0	0	0.213	0.900	0.476	0.955
DCN	SDC1	9606.ENSP00000052754	9606.ENSP00000370542	0	0	0	0	0.062	0	0.900	0.595	0.958
DCN	COL1A1	9606.ENSP00000052754	9606.ENSP00000225964	0	0	0	0	0.864	0.241	0	0.636	0.959
DCN	MMP3	9606.ENSP00000052754	9606.ENSP00000299855	0	0	0	0	0.117	0.213	0.900	0.591	0.967
DCN	LRP1	9606.ENSP00000052754	9606.ENSP00000243077	0	0	0	0	0.105	0.056	0	0.970	0.972
DCN	COL1A2	9606.ENSP00000052754	9606.ENSP00000297268	0	0	0	0	0.927	0.241	0	0.567	0.974
DCN	IGF1	9606.ENSP00000052754	9606.ENSP00000302665	0	0	0	0	0.124	0	0.800	0.915	0.983
DCN	HSPG2	9606.ENSP00000052754	9606.ENSP00000363827	0	0	0	0	0.098	0.071	0.900	0.845	0.985
DCN	MMP2	9606.ENSP00000052754	9606.ENSP00000219070	0	0	0	0	0.791	0.213	0.900	0.558	0.991
DCN	TGFB1	9606.ENSP00000052754	9606.ENSP00000221930	0	0	0	0	0	0.867	0.800	0.890	0.996
EDN1	MMP2	9606.ENSP00000368683	9606.ENSP00000219070	0	0	0	0	0.062	0	0.800	0.604	0.919
EDN1	MMP9	9606.ENSP00000368683	9606.ENSP00000361405	0	0	0	0	0	0	0.800	0.652	0.927
EDN1	SRC	9606.ENSP00000368683	9606.ENSP00000362680	0	0	0	0	0.060	0	0.900	0.545	0.953
EDN1	VEGFA	9606.ENSP00000368683	9606.ENSP00000478570	0	0	0	0	0	0	0	0.923	0.923
EFNB1	EFNB3	9606.ENSP00000204961	9606.ENSP00000226091	0	0	0	0.888	0	0	0.900	0.950	0.910
EFNB1	MMP9	9606.ENSP00000204961	9606.ENSP00000361405	0	0	0	0	0	0	0.900	0.172	0.913
EFNB1	MMP2	9606.ENSP00000204961	9606.ENSP00000219070	0	0	0	0	0.087	0	0.900	0.141	0.914
EFNB1	STAT3	9606.ENSP00000204961	9606.ENSP00000264657	0	0	0	0	0	0.182	0	0.918	0.930
EFNB1	EFNB2	9606.ENSP00000204961	9606.ENSP00000245323	0	0	0	0.950	0.076	0.309	0.900	0.892	0.933
EFNB1	SRC	9606.ENSP00000204961	9606.ENSP00000362680	0	0	0	0	0.109	0.351	0.900	0.408	0.961
EFNB1	EPHB6	9606.ENSP00000204961	9606.ENSP00000481994	0	0	0	0	0.183	0.148	0.600	0.964	0.988
